system:index,PANELID,first,.geo
000000000000000001c0,449,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c1,450,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c2,451,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c3,452,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4,453,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5,454,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6,455,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c7,456,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8,457,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c9,458,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ca,459,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cb,460,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cc,461,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cd,462,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ce,463,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cf,464,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d0,465,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d1,466,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d2,467,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d3,468,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d4,469,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5,470,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d6,471,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d7,472,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d8,473,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d9,474,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001da,475,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001db,476,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dc,477,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001dd,478,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de,479,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df,480,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e0,481,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1,482,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2,483,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e3,484,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4,485,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5,486,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6,487,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7,488,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8,489,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9,490,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea,491,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb,492,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec,493,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed,494,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee,495,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef,496,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0,497,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1,498,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2,499,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3,500,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4,501,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5,502,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6,503,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7,504,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f8,505,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001165,4454,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001166,4455,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f9,506,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fa,507,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fb,508,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fc,509,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fd,510,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fe,511,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff,512,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000200,513,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201,514,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000202,515,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000203,516,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000204,517,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000205,518,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000206,519,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207,520,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000208,521,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000209,522,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020a,523,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020b,524,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c,525,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020d,526,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020e,527,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020f,528,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000210,529,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000211,530,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000212,531,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000213,532,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000214,533,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000215,534,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000216,535,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000217,536,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000218,537,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000219,538,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021a,539,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021b,540,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021c,541,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021d,542,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021e,543,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021f,544,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000220,545,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000221,546,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000222,547,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000223,548,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000224,549,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000225,550,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000226,551,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000227,552,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000228,553,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229,554,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022a,555,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022b,556,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022c,557,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022d,558,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022e,559,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022f,560,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000230,561,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000231,562,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000232,563,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000233,564,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000234,565,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000235,566,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000236,567,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000237,568,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000238,569,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000239,570,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023a,571,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023b,572,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023c,573,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023d,574,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023e,575,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023f,576,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000240,577,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000241,578,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000242,579,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000243,580,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000244,581,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000245,582,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000246,583,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000247,584,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000248,585,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000249,586,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024a,587,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024b,588,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024c,589,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024d,590,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024e,591,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024f,592,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000250,593,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000251,594,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000252,595,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000253,596,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000254,597,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000255,598,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256,599,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257,600,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258,601,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259,602,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a,603,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025b,604,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c,605,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025d,606,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025e,607,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025f,608,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260,609,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000261,610,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000262,611,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000263,612,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000264,613,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000265,614,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000266,615,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000267,616,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000268,617,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000269,618,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026a,619,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026b,620,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026c,621,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d,622,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e,623,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026f,624,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270,625,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271,626,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000272,627,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000273,628,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000274,629,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000275,630,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000276,631,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000277,632,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000278,633,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000279,634,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027a,635,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027b,636,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027c,637,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027d,638,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027e,639,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027f,640,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000280,641,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000281,642,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000282,643,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000283,644,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000284,645,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000285,646,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000286,647,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000287,648,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000288,649,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000289,650,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028a,651,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028b,652,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028c,653,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028d,654,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028e,655,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028f,656,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000290,657,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000291,658,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000292,659,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000293,660,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000294,661,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000295,662,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000296,663,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297,664,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000298,665,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000299,666,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029a,667,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029b,668,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029c,669,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029d,670,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029e,671,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029f,672,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a0,673,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a1,674,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a2,675,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a3,676,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a4,677,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a5,678,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a6,679,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a7,680,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8,681,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a9,682,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002aa,683,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ab,684,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ac,685,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ad,686,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ae,687,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002af,688,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b0,689,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a43,2628,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a44,2629,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a45,2630,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a46,2631,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a47,2632,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a48,2633,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b1,690,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b2,691,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b3,692,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b4,693,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b5,694,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b6,695,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a49,2634,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4a,2635,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4b,2636,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4c,2637,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4d,2638,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4e,2639,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a4f,2640,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a50,2641,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a51,2642,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a52,2643,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a53,2644,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a54,2645,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a55,2646,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a56,2647,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a57,2648,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a58,2649,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a59,2650,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5a,2651,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5b,2652,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5c,2653,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5d,2654,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5e,2655,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a5f,2656,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a60,2657,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a61,2658,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a62,2659,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a63,2660,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a64,2661,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a65,2662,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a66,2663,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a67,2664,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a68,2665,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a69,2666,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6a,2667,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6b,2668,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6c,2669,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6d,2670,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6e,2671,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6f,2672,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a70,2673,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a71,2674,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a72,2675,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a73,2676,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a74,2677,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a75,2678,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a76,2679,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a77,2680,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a78,2681,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a79,2682,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7a,2683,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7b,2684,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7c,2685,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7d,2686,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7e,2687,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7f,2688,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a80,2689,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a81,2690,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a82,2691,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a83,2692,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a84,2693,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a85,2694,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a86,2695,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a87,2696,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a88,2697,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a89,2698,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8a,2699,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8b,2700,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8c,2701,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8d,2702,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8e,2703,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8f,2704,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a90,2705,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a91,2706,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a92,2707,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a93,2708,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a94,2709,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a95,2710,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a96,2711,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a97,2712,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a98,2713,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a99,2714,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9a,2715,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9b,2716,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9c,2717,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9d,2718,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9e,2719,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a9f,2720,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aa0,2721,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aa1,2722,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aa2,2723,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bd,702,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002be,703,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bf,704,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c0,705,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c1,706,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
